mean_test_score,mean_train_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
0.8460737605366224,0.8584320297286409,entropy,10,20,5
0.8461857286913694,0.8584029999168095,entropy,10,20,10
0.8461857426194893,0.8584029997448146,entropy,10,20,15
0.8461484013304139,0.8583905579791852,entropy,10,20,20
0.8585026435571305,0.8948732739660212,entropy,15,5,5
0.8576069401035138,0.8948566840278758,entropy,15,5,10
0.8581296067256104,0.8926586850906115,entropy,15,5,15
0.8567484525858948,0.8897929834537347,entropy,15,5,20
0.853874593995309,0.8850112965205217,entropy,15,10,5
0.8540984745923239,0.8850071495519698,entropy,15,10,10
0.8539119352843845,0.8850195894256556,entropy,15,10,15
0.853911949212504,0.8850361774718574,entropy,15,10,20
0.8522696567554167,0.8778988956167476,entropy,15,15,5
0.8526055055071786,0.8779611035849211,entropy,15,15,10
0.8521949323929068,0.8779362210856311,entropy,15,15,15
0.8524935652086711,0.877969398038009,entropy,15,15,20
0.8478654877906102,0.8730176618308769,entropy,15,20,5
0.8480147972344326,0.8730632805488844,entropy,15,20,10
0.8479774280891176,0.8730010729247007,entropy,15,20,15
0.8479401285844016,0.8730632805488844,entropy,15,20,20
0.8538372387781139,0.9152400564531227,entropy,20,5,5
0.8532399313622256,0.9153810581997375,entropy,20,5,10
0.8550317561130516,0.9101929420332396,entropy,20,5,15
0.853240028859064,0.9047601361467438,entropy,20,5,20
0.8515980149643718,0.8950350119313537,entropy,20,10,5
0.8510755015515926,0.8950350110713792,entropy,20,10,10
0.8512247692110556,0.8949810984162685,entropy,20,10,15
0.8514113642314742,0.8950308654787864,entropy,20,10,20
0.84943291660399,0.883721517235084,entropy,20,15,5
0.8496568389853643,0.8837629912204733,entropy,20,15,10
0.8492462519429725,0.8837049291888823,entropy,20,15,15
0.849768765355752,0.8837712851575766,entropy,20,15,20
0.8470815157137046,0.876273187971333,entropy,20,20,5
0.8469322201980022,0.8762441571275327,entropy,20,20,10
0.8470815853543036,0.8763146588608144,entropy,20,20,15
0.8470815296418245,0.8762565987211672,entropy,20,20,20
0.846372337639908,0.9267733394506636,entropy,30,5,5
0.8457378700005014,0.9266572198593488,entropy,30,5,10
0.8481266818204609,0.9187983233374954,entropy,30,5,15
0.8484998161488191,0.9114868460998895,entropy,30,5,20
0.8481269464547363,0.8977596965140711,entropy,30,10,5
0.8483135554032748,0.8978094615126506,entropy,30,10,10
0.8478283693514511,0.8977845795293454,entropy,30,10,15
0.8480523195890648,0.897780432216804,entropy,30,10,20
0.8487235713927562,0.884575834379498,entropy,30,15,5
0.8484623773629053,0.8845468026757229,entropy,30,15,10
0.8487609544661909,0.8845716872389513,entropy,30,15,15
0.8486117007348477,0.8845302139415419,entropy,30,15,20
0.8469322898386009,0.8766256997336501,entropy,30,20,5
0.8472682082309617,0.8766671706231314,entropy,30,20,10
0.8469696868401554,0.8766174030446287,entropy,30,20,15
0.8468576211885701,0.8766381404673105,entropy,30,20,20
